FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
combined,SVM,StandardScaler_none,StandardScaler_Chi2,0.7305,0.0004,0.7308,0.0015,0.7775±0.0044,0.7685±0.0045,Tie,-0.0003,0.0016
combined,SVM,StandardScaler_none,StandardScaler_ANOVA,0.7305,0.0004,0.7319,0.0008,0.7775±0.0044,0.7716±0.0033,StandardScaler_ANOVA,-0.0014,0.0009
combined,SVM,StandardScaler_MI,StandardScaler_Chi2,0.7305,0.0004,0.7308,0.0015,0.7775±0.0044,0.7685±0.0045,Tie,-0.0003,0.0016
combined,SVM,StandardScaler_MI,StandardScaler_ANOVA,0.7305,0.0004,0.7319,0.0008,0.7775±0.0044,0.7716±0.0033,StandardScaler_ANOVA,-0.0014,0.0009
combined,SVM,StandardScaler_Chi2,StandardScaler_ANOVA,0.7308,0.0015,0.7319,0.0008,0.7685±0.0045,0.7716±0.0033,Tie,-0.0011,0.0017
combined,SVM,MinMaxScaler_none,MinMaxScaler_MI,0.7282,0.0003,0.7303,0.0023,0.7716±0.0039,0.7724±0.0042,Tie,-0.0021,0.0023
combined,SVM,MinMaxScaler_none,MinMaxScaler_Chi2,0.7282,0.0003,0.7306,0.0008,0.7716±0.0039,0.7724±0.0035,MinMaxScaler_Chi2,-0.0024,0.0009
combined,SVM,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7282,0.0003,0.7282,0.0003,0.7716±0.0039,0.7716±0.0039,Tie,0.0,0.0004
combined,SVM,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7303,0.0023,0.7306,0.0008,0.7724±0.0042,0.7724±0.0035,Tie,-0.0003,0.0024
combined,SVM,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7303,0.0023,0.7282,0.0003,0.7724±0.0042,0.7716±0.0039,Tie,0.0021,0.0023
combined,SVM,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.7306,0.0008,0.7282,0.0003,0.7724±0.0035,0.7716±0.0039,MinMaxScaler_Chi2,0.0024,0.0009
combined,MLP,StandardScaler_none,StandardScaler_MI,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
